Date,Settle,Volume
5/19/2016,11.845,431
5/18/2016,12.145,592
5/17/2016,12.11,764
5/16/2016,11.93,742
5/13/2016,11.485,1
5/12/2016,11.595,3
5/11/2016,11.265,1
5/10/2016,11.17,0
5/9/2016,10.99,6
5/6/2016,11.21,7
5/5/2016,11.12,3
5/4/2016,11.175,44
5/3/2016,11.17,34
5/2/2016,11.06,61
4/29/2016,10.84,175
4/28/2016,10.735,907
4/27/2016,10.835,1560
4/26/2016,10.95,1021
4/25/2016,10.835,1361
4/22/2016,10.49,1679
4/21/2016,10.665,1028
4/20/2016,10.65,1110
4/19/2016,10.36,750
4/18/2016,10.26,1058
4/15/2016,10.315,1249
4/14/2016,10.22,1966
4/13/2016,9.89,471
4/12/2016,9.785,911
4/11/2016,9.845,617
4/8/2016,9.95,875
4/7/2016,9.85,223
4/6/2016,9.745,283
4/5/2016,9.79,793
4/4/2016,9.8,405
4/1/2016,9.755,1153
3/31/2016,9.69,1736
3/30/2016,10.03,804
3/29/2016,10.065,656
3/28/2016,10.19,129
3/24/2016,10.265,550
3/23/2016,10.305,305
3/22/2016,10.405,197
3/21/2016,10.375,220
3/18/2016,10.45,307
3/17/2016,10.545,609
3/16/2016,10.485,405
3/15/2016,10.37,264
3/14/2016,10.45,331
3/11/2016,10.095,8
3/10/2016,10.105,19
3/9/2016,10.14,1
3/8/2016,10.295,2
3/7/2016,10.455,15
3/4/2016,10.265,16
3/3/2016,10.26,165
3/2/2016,10.24,43
3/1/2016,10.37,93
2/29/2016,10.495,210
2/26/2016,10.39,1908
2/25/2016,10.435,1369
2/24/2016,10.66,1290
2/23/2016,10.595,1479
2/22/2016,10.705,1565
2/19/2016,11.02,909
2/18/2016,10.86,481
2/17/2016,11.04,627
2/16/2016,10.84,1181
2/12/2016,10.765,691
2/11/2016,11.015,536
2/10/2016,11.13,1050
2/9/2016,10.76,705
2/8/2016,10.92,449
2/5/2016,11.12,412
2/4/2016,11.05,333
2/3/2016,11.135,224
2/2/2016,11.175,498
2/1/2016,11.005,760
1/29/2016,11.35,654
1/28/2016,11.31,601
1/27/2016,11.265,326
1/26/2016,11.075,381
1/25/2016,11.01,287
1/22/2016,10.96,320
1/21/2016,10.98,369
1/20/2016,10.84,523
1/19/2016,10.875,505
1/15/2016,10.665,549
1/14/2016,10.88,1356
1/13/2016,11.075,6
1/12/2016,11.49,74
1/11/2016,11.54,30
1/8/2016,11.615,16
1/7/2016,11.385,70
1/6/2016,11.575,35
1/5/2016,11.67,71
1/4/2016,11.51,180
12/31/2015,11.565,272
12/30/2015,11.54,1089
12/29/2015,11.665,1032
12/28/2015,11.06,1241
12/24/2015,10.82,158
12/23/2015,10.9,854
12/22/2015,10.835,925
12/21/2015,10.95,1103
12/18/2015,11.08,576
12/17/2015,11.11,733
12/16/2015,10.955,857
12/15/2015,10.9,587
12/14/2015,10.985,850
12/11/2015,11.055,364
12/10/2015,11.11,700
12/9/2015,11.005,543
12/8/2015,10.97,603
12/7/2015,10.875,1665
12/4/2015,11.18,500
12/3/2015,11.235,1145
12/2/2015,11.395,899
12/1/2015,11.715,0
11/30/2015,11.905,1028
11/27/2015,11.955,290
11/25/2015,12.13,210
11/24/2015,12.19,578
11/23/2015,12.105,232
11/20/2015,12.13,294
11/19/2015,11.845,893
11/18/2015,11.84,292
11/17/2015,12.065,642
11/16/2015,11.84,499
11/13/2015,12.145,686
11/12/2015,12.11,12
11/11/2015,11.635,4
11/10/2015,11.635,26
11/9/2015,11.795,47
11/6/2015,12.185,10
11/5/2015,12.19,95
11/4/2015,12.17,298
11/3/2015,11.895,206
11/2/2015,11.885,269
10/30/2015,11.61,398
10/29/2015,11.535,1069
10/28/2015,11.4,561
10/27/2015,11.6,1147
10/26/2015,11.655,814
10/23/2015,11.855,1251
10/22/2015,12.135,1490
10/21/2015,12.26,894
10/20/2015,12.175,487
10/19/2015,12.105,791
10/16/2015,12.11,592
10/15/2015,12.28,1129
10/14/2015,12.145,2393
10/13/2015,12.595,1330
10/12/2015,12.885,514
10/9/2015,12.995,952
10/8/2015,12.99,937
10/7/2015,13.325,386
10/6/2015,13.365,364
10/5/2015,13.4,1163
10/2/2015,13.25,397
10/1/2015,13.3,772
9/30/2015,13.2,1121
9/29/2015,13.325,585
9/28/2015,13.34,316
9/25/2015,13.27,874
9/24/2015,13.015,449
9/23/2015,12.91,263
9/22/2015,12.745,311
9/21/2015,12.805,196
9/18/2015,12.95,265
9/17/2015,12.895,381
9/16/2015,12.865,475
9/15/2015,12.97,349
9/14/2015,12.995,728
